,Names,Price,Ratings,Reviews,Images,links,Features
0,"APPLE iPhone 13 (Midnight, 128 GB)","₹60,999",4.7,"2,31,810 Ratings & 12,295 Reviews",https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/s/l/c/iphone-13-mlpf3hn-a-apple-original-imag6vzz5qvejz8z.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-midnight-128-gb/p/itmca361aab1c5b0?pid=MOBG6VF5Q82T3XRS&lid=LSTMOBG6VF5Q82T3XRSOXJLM9&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_1&otracker=AS_Query_OrganicAutoSuggest_4_4_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_4_na_na_na&fm=organic&iid=30a06754-efde-40a9-a51b-0bbadb024950.MOBG6VF5Q82T3XRS.SEARCH&ppt=None&ppn=None&ssid=cjm77ojwds0000001688960412392&qH=c68a3b83214bb235,128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
1,"APPLE iPhone 13 (Starlight, 128 GB)","₹60,999",4.7,"2,31,810 Ratings & 12,295 Reviews",https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/6/n/d/iphone-13-mlpg3hn-a-apple-original-imag6vpyghayhhrh.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-starlight-128-gb/p/itmc9604f122ae7f?pid=MOBG6VF5ADKHKXFX&lid=LSTMOBG6VF5ADKHKXFXQGX7PK&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_2&otracker=AS_Query_OrganicAutoSuggest_4_4_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_4_na_na_na&fm=organic&iid=30a06754-efde-40a9-a51b-0bbadb024950.MOBG6VF5ADKHKXFX.SEARCH&ppt=None&ppn=None&ssid=cjm77ojwds0000001688960412392&qH=c68a3b83214bb235,128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
2,"APPLE iPhone 13 (Pink, 128 GB)","₹60,999",4.7,"2,31,810 Ratings & 12,295 Reviews",https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/8/z/w/iphone-13-mlph3hn-a-apple-original-imag6vzzhrxgazsg.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-pink-128-gb/p/itm6e30c6ee045d2?pid=MOBG6VF5GXVFTQ5Y&lid=LSTMOBG6VF5GXVFTQ5YSGQY4O&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_3&otracker=AS_Query_OrganicAutoSuggest_4_4_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_4_na_na_na&fm=organic&iid=30a06754-efde-40a9-a51b-0bbadb024950.MOBG6VF5GXVFTQ5Y.SEARCH&ppt=None&ppn=None&ssid=cjm77ojwds0000001688960412392&qH=c68a3b83214bb235,128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
3,"APPLE iPhone 13 (Blue, 128 GB)","₹60,999",4.7,"2,31,810 Ratings & 12,295 Reviews",https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/2/y/o/iphone-13-mlpk3hn-a-apple-original-imag6vpyur6hjngg.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c?pid=MOBG6VF5SMXPNQHG&lid=LSTMOBG6VF5SMXPNQHGH3DY6Z&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_4&otracker=AS_Query_OrganicAutoSuggest_4_4_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_4_na_na_na&fm=organic&iid=30a06754-efde-40a9-a51b-0bbadb024950.MOBG6VF5SMXPNQHG.SEARCH&ppt=None&ppn=None&ssid=cjm77ojwds0000001688960412392&qH=c68a3b83214bb235,128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
4,"APPLE iPhone 13 (Green, 128 GB)","₹60,999",4.7,"2,31,810 Ratings & 12,295 Reviews",https://rukminim2.flixcart.com/image/312/312/l0igvww0/mobile/r/q/m/-original-imagca5ajerqpfjy.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-green-128-gb/p/itm18a55937b2607?pid=MOBGC9VGSU9DWGJZ&lid=LSTMOBGC9VGSU9DWGJZ0Q1T8E&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_5&otracker=AS_Query_OrganicAutoSuggest_4_4_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_4_na_na_na&fm=organic&iid=30a06754-efde-40a9-a51b-0bbadb024950.MOBGC9VGSU9DWGJZ.SEARCH&ppt=None&ppn=None&ssid=cjm77ojwds0000001688960412392&qH=c68a3b83214bb235,128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
5,"APPLE iPhone 13 (Starlight, 256 GB)","₹70,999",4.7,"2,31,810 Ratings & 12,295 Reviews",https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/6/n/d/iphone-13-mlpg3hn-a-apple-original-imag6vpyghayhhrh.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-starlight-256-gb/p/itm37b8de852304e?pid=MOBG6VF5NFYJ8KQX&lid=LSTMOBG6VF5NFYJ8KQX7FK2GA&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_6&otracker=AS_Query_OrganicAutoSuggest_4_4_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_4_na_na_na&fm=organic&iid=30a06754-efde-40a9-a51b-0bbadb024950.MOBG6VF5NFYJ8KQX.SEARCH&ppt=None&ppn=None&ssid=cjm77ojwds0000001688960412392&qH=c68a3b83214bb235,256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
6,"APPLE iPhone 13 (Green, 256 GB)","₹70,999",4.7,"2,31,810 Ratings & 12,295 Reviews",https://rukminim2.flixcart.com/image/312/312/l0igvww0/mobile/r/q/m/-original-imagca5ajerqpfjy.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-green-256-gb/p/itm14914e5e84473?pid=MOBGC9VGPXQNTXDW&lid=LSTMOBGC9VGPXQNTXDW2AHCZP&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_7&otracker=AS_Query_OrganicAutoSuggest_4_4_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_4_na_na_na&fm=organic&iid=30a06754-efde-40a9-a51b-0bbadb024950.MOBGC9VGPXQNTXDW.SEARCH&ppt=None&ppn=None&ssid=cjm77ojwds0000001688960412392&qH=c68a3b83214bb235,256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
7,"APPLE iPhone 13 (Midnight, 256 GB)","₹70,999",4.7,"2,31,810 Ratings & 12,295 Reviews",https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/s/l/c/iphone-13-mlpf3hn-a-apple-original-imag6vzz5qvejz8z.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-midnight-256-gb/p/itmfa27e6497b641?pid=MOBG6VF5AJGQ6HHE&lid=LSTMOBG6VF5AJGQ6HHEIDDQMK&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_8&otracker=AS_Query_OrganicAutoSuggest_4_4_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_4_na_na_na&fm=organic&iid=30a06754-efde-40a9-a51b-0bbadb024950.MOBG6VF5AJGQ6HHE.SEARCH&ppt=None&ppn=None&ssid=cjm77ojwds0000001688960412392&qH=c68a3b83214bb235,256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
8,"APPLE iPhone 13 (Pink, 256 GB)","₹70,999",4.7,"2,31,810 Ratings & 12,295 Reviews",https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/8/z/w/iphone-13-mlph3hn-a-apple-original-imag6vzzhrxgazsg.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-pink-256-gb/p/itmc5ee8ec6cd737?pid=MOBG6VF5XAMZ2FKX&lid=LSTMOBG6VF5XAMZ2FKXWXB6MV&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_9&otracker=AS_Query_OrganicAutoSuggest_4_4_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_4_na_na_na&fm=organic&iid=30a06754-efde-40a9-a51b-0bbadb024950.MOBG6VF5XAMZ2FKX.SEARCH&ppt=None&ppn=None&ssid=cjm77ojwds0000001688960412392&qH=c68a3b83214bb235,256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
9,"APPLE iPhone 13 (Midnight, 512 GB)","₹90,999",4.7,"2,31,810 Ratings & 12,295 Reviews",https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/s/l/c/iphone-13-mlpf3hn-a-apple-original-imag6vzz5qvejz8z.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-midnight-512-gb/p/itm7d60d2e9ffd7c?pid=MOBG6VF5GXHZMYMH&lid=LSTMOBG6VF5GXHZMYMHL6HIY4&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_10&otracker=AS_Query_OrganicAutoSuggest_4_4_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_4_na_na_na&fm=organic&iid=30a06754-efde-40a9-a51b-0bbadb024950.MOBG6VF5GXHZMYMH.SEARCH&ppt=None&ppn=None&ssid=cjm77ojwds0000001688960412392&qH=c68a3b83214bb235,512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
